id	name	sumary	desciption	rating	reviewCount	popularity	tags	openTime	closeTime	priceVND	houseNumber	street	   ward	district	city	Tọa độ	URL	phone	Img name	dwell	Img url
11	Chùa Hang (Phước Điền Tự)	Ngôi chùa cổ treo leo trên vách núi.	Chùa có kiến trúc đẹp, dựa lưng vào núi Sam, nổi tiếng với sự linh thiêng và tầm nhìn bao quát cánh đồng lúa bạt ngàn.	4.6	1500	88	Tôn giáo	07:00	18:00	0	NULL	QL91	Phường Núi Sam	TP. Châu Đốc	An Giang	10.676912518266729, 105.07315516415423	https://www.google.com/maps/place/Ph%C6%B0%E1%BB%9Bc+%C4%90i%E1%BB%81n+T%E1%BB%B1+-+Hang+Pagoda/@10.6769048,105.0728009,19.04z/data=!4m6!3m5!1s0x310a208c9a12258f:0x44df0781ae4b7bd1!8m2!3d10.6768392!4d105.0730933!16s%2Fm%2F0cc8wwr?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	chua-hang-chau-doc.jpg	90	https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcTmNxeUtoYTSgCIDQAQ9v4YST1qY3GYCn880VWGih0iyeFkf09DHgMjVE98tEKh26qLh0iwwnwNFP8hbRihj2yufpwl3Kaej0hKI2PCnn9VDHS1TQM
12	Thánh đường Jamiul Azhar	Thánh đường Hồi giáo đẹp nhất Việt Nam.	Kiến trúc mái vòm và tháp minaret đặc trưng với gam màu trắng - xanh ngọc chủ đạo, nghĩa trang bia đá độc đáo phía trước.	4.4	800	84	Văn hóa	07:00	17:00	0	NULL	Châu Giang	Xã Châu Phong	TX. Tân Châu	An Giang	10.710546802492384, 105.13534209502832	https://www.google.com/maps/place/Jamuil+Azhar+Mosque/@10.7104159,105.1349004,18.27z/data=!4m6!3m5!1s0x310a241a508643f9:0x4dd84b2d04009de8!8m2!3d10.7104345!4d105.1351746!16s%2Fg%2F11cjkp_jbk?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	thanh-duong-jamiul-azhar.jpg	45	https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcSLReTkt-ScBkSco4D785U-gLdh-0_PMQIpwjE8TKW11Xgl7QXiqyoUT8z8DqzN0ZL2wXPdpPevj-qoczx-LHyxQHqtyodLBZSvEqTc6COwfsoEltQ
24	Khu lưu niệm Cao Văn Lầu	Nơi tôn vinh Đờn ca tài tử Nam Bộ.	Khu di tích thờ nhạc sĩ Cao Văn Lầu, cha đẻ bản "Dạ cổ hoài lang", nơi lưu giữ giá trị nghệ thuật truyền thống.	4.4	1200	82	Bảo tàng	07:30	17:00	20000	NULL	Cao Văn Lầu	Phường 2	TP. Bạc Liêu	Bạc Liêu	9.276313779946022, 105.72536085164505	https://www.google.com/maps/place/Khu+t%C6%B0%E1%BB%9Fng+ni%E1%BB%87m+Nh%E1%BA%A1c+s%C4%A9+Cao+V%C4%83n+L%E1%BA%A7u/@9.2760906,105.7236008,17.51z/data=!4m6!3m5!1s0x31a10bb5c840391d:0x485547859be9b92b!8m2!3d9.2761284!4d105.7252094!16s%2Fg%2F11h2wdkt06?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D	NULL	kln-cao-van-lau.jpg	60	https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcRT-kiQ-X7PjsCV01xhWlB5nFmRyCRi85jX_O6urRUo0vz3xyO0QKCh0ytsChq_4Em9A9dKSq8vXLnT2W_Dh9o2F6bkJXJeHPyX6R1PDe5WIHFfoaA
25	Nhà hát Cao Văn Lầu (Nón Lá)	Kiến trúc 3 chiếc nón lá độc đáo.	Công trình văn hóa biểu tượng của Bạc Liêu, nơi diễn ra các sự kiện nghệ thuật lớn với thiết kế hình nón lá ấn tượng.	4.6	2100	86	Check-in	07:00	22:00	0	NULL	Hùng Vương	Phường 1	TP. Bạc Liêu	Bạc Liêu	9.294193346626617, 105.72684185963031	https://www.google.com/maps/place/Nh%C3%A0+ha%CC%81t+Cao+V%C4%83n+L%C3%A2%CC%80u/@9.2940663,105.7234569,17z/data=!3m1!4b1!4m6!3m5!1s0x31a10971a6161751:0x8429cc13861df594!8m2!3d9.2940663!4d105.7260372!16s%2Fg%2F11b6jddg9g?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D	NULL	nha-hat-non-la.jpg	30	https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcTx3CMvbysmd2Vqw7NN4bZrIEnFO5s9N4Iau9p3y6w1vhPWXVQpblssuUEOJN9qYU5VxYE3RlsC3WkH7uEqThi9WBgnAD6Esldj4AQOgR3m1kagqf8
26	Nhà Công tử Bạc Liêu	Dinh thự xa hoa của vị công tử khét tiếng.	Ngôi nhà mang kiến trúc Pháp sang trọng, lưu giữ những giai thoại về cuộc sống vương giả của Công tử Bạc Liêu xưa.	4.2	2000	90	Di tích	07:30	17:30	30000	13	Điện Biên Phủ	Phường 3	TP. Bạc Liêu	Bạc Liêu	9.2842239072539, 105.72384497509181	https://maps.app.goo.gl/urMdZ6vRdkKSB5XN8	02913824033	nha-cong-tu-bac-lieu.jpg	45	https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcRJYUng0fCtmY0b7LQsk_qernqVoQEa_clhB2uPq9KNOMmmm2CLD7ed--TJfvPq4r00gH_3NQCQOeNWOIs3TDfGvM-fAmniRhxCSi-LkGS2DgWImUk
27	Chùa Xiêm Cán	Kiến trúc Khmer lộng lẫy và tinh xảo.	Ngôi chùa có quy mô lớn, nổi bật với những họa tiết chạm trổ tỉ mỉ, màu vàng rực rỡ mang đậm bản sắc văn hóa Khmer.	4.5	1500	85	Di tích	07:00	18:00	0	NULL	ĐT 31	Xã Vĩnh Trạch Đông	TP. Bạc Liêu	Bạc Liêu	9.253710950789353, 105.79814242260409	https://www.google.com/maps/place/Ch%C3%B9a+Xi%C3%AAm+C%C3%A1n+(Komphisako)/@9.2534601,105.7966834,18.02z/data=!4m6!3m5!1s0x31a1a09643ddf52f:0x608a10711cc35e54!8m2!3d9.2536102!4d105.7979462!16s%2Fg%2F1th60wr2?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D	NULL	chua-xiem-can.jpg	45	https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcTZO69vPWDuLvG-DYI6y-v_QNuUaps_Dr5C9Avlmd0foYqqnE7ex8Vgmsl8nyMG0Cht6C3xXF9QVBVdd-5NXt_41TKaUYXhZCpaoxo5lPx0sXKhzhM
28	Phước Đức Cổ Miếu (Chùa Bang)	Di tích kiến trúc Hoa cổ kính.	Ngôi miếu của người Hoa với kiến trúc chạm khắc gỗ, đá tinh xảo, là nơi sinh hoạt tín ngưỡng lâu đời.	4.4	600	72	Di tích	07:00	17:00	0	74	Điện Biên Phủ	Phường 3	TP. Bạc Liêu	Bạc Liêu	9.284449620712577, 105.72431272642028	https://www.google.com/maps/place/Teochew+Chinese+Assembly+Hall+of+Bac+Lieu/@9.284596,105.7231238,18.02z/data=!4m6!3m5!1s0x31a1097cba5c20ab:0x6a0d1ef6585ee1f0!8m2!3d9.2843629!4d105.7241965!16s%2Fg%2F128dgt9f4?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D	NULL	chua-bang-bac-lieu.jpg	30	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrE0l1fkOtvFDUxoXRAZdDDa8pJxZr9v7WdySWACf_nOzMkfJkQldDEAxx1mNA
29	Tháp cổ Vĩnh Hưng	Dấu tích văn hóa Óc Eo ngàn năm.	Ngôi tháp gạch cổ duy nhất còn sót lại ở ĐBSCL, mang giá trị lịch sử và khảo cổ to lớn từ thế kỷ thứ 9.	4.1	450	65	Di tích	07:30	17:00	0	NULL	QL1A	Xã Vĩnh Hưng A	H. Vĩnh Lợi	Bạc Liêu	9.392511546607132, 105.57835907900953	https://www.google.com/maps/place/Vinh+Hung+Ancient+Tower/@9.3922248,105.5769154,17.76z/data=!4m6!3m5!1s0x31a11ab8c2c92b1d:0x25a63dd262f51aa2!8m2!3d9.3923854!4d105.5781835!16s%2Fg%2F1tfn06_d?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D	NULL	thap-co-vinh-hung.jpg	30	https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRHP3CTVrvDJJwj3pTumBp5qBicnqAMiESSUMOsKFF8ghB7BTUySLUUAyxn2w0J
30	Chùa Giác Hoa	Ngôi chùa cổ do bà Hai Ngó xây dựng.	Công trình kiến trúc kết hợp Đông - Tây độc đáo, gắn liền với tấm lòng thiện nguyện của nữ đại phú hào xưa.	4.5	600	75	Di tích	07:00	18:00	0	NULL	Châu Thới	Xã Châu Thới	H. Vĩnh Lợi	Bạc Liêu	9.34807869463972, 105.71075956631233	https://www.google.com/maps/place/Gi%C3%A1c+Hoa+Pagoda/@9.3480581,105.7104053,19.04z/data=!4m6!3m5!1s0x31a108be33cf514d:0x290015000c95683!8m2!3d9.3480245!4d105.7106853!16s%2Fg%2F1hc7c0mrw?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D	NULL	chua-giac-hoa.jpg	45	https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcRvod3NBmzjW1GqOho2i-idHHsYm-UxJf4JhxCmt185JJdR9NZx8lkiStGP6RoEpJAKvMpomUvyEfHueHBedp9v0ahgCLXqHF0yqTZpR0aKOtIc-tI
31	Quảng trường Hùng Vương	Quảng trường với biểu tượng đàn kìm.	Không gian công cộng rộng lớn, nổi bật với cây đàn kìm cách điệu, tôn vinh nghệ thuật đờn ca tài tử.	4.5	1800	78	Giải trí	00:00	23:59	0	NULL	Nguyễn Tất Thành	Phường 1	TP. Bạc Liêu	Bạc Liêu	9.293402920889061, 105.72528682629394	https://www.google.com/maps/place/Hung+Vuong+Square/@9.2932991,105.7223462,17.29z/data=!4m10!1m2!2m1!1zUXXhuqNuZyB0csaw4budbmcgSMO5bmcgVsawxqFuZw!3m6!1s0x31a10970420e0151:0xdb121dc660baacb0!8m2!3d9.293214!4d105.7250089!15sCh9RdeG6o25nIHRyxrDhu51uZyBIw7luZyBWxrDGoW5nkgEJY2l0eV9wYXJr4AEA!16s%2Fg%2F11css0l2ws?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D	NULL	quang-truong-hung-vuong.jpg	30	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQdUPRgauAgrkrojvpx5rlTesfuhLtrVLI24KnHp8XwANp2zjjQ7OxbFCsm79sq
32	KDL Nhà Mát	Biển nhân tạo và khu vui chơi giải trí.	Tổ hợp công viên nước, biển nhân tạo lớn, thích hợp cho gia đình vui chơi, giải nhiệt ngày hè.	4.0	1300	84	Giải trí	07:00	18:00	50000	NULL	Bạch Đằng	Phường Nhà Mát	TP. Bạc Liêu	Bạc Liêu	9.204483763718917, 105.74568509633406	https://www.google.com/maps/place/Tourist+Nha+Mat+-+Restaurant/@9.204253,105.7440834,17.76z/data=!4m6!3m5!1s0x31a10ada9d25fb73:0x5fcac2697dc808cf!8m2!3d9.2042839!4d105.7454409!16s%2Fg%2F11b67pv9z_?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D	912345678	kdl-nha-mat.jpg	180	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTar9Fsv-wiHvbYc6TfhPwEkUXi9EtILctCTq9XxEpoyC1D9gGGxEisJpO2l0sW
33	Cánh đồng Điện Gió	Check-in "trời Tây" giữa lòng Bạc Liêu.	Cánh đồng quạt gió trên biển quy mô lớn với hàng chục trụ tua-bin khổng lồ, tạo nên khung cảnh hiện đại và lãng mạn.	4.3	4331	89	Ngắm cảnh	06:00	18:00	30000	NULL	Cao Văn Lầu	Xã Vĩnh Trạch Đông	TP. Bạc Liêu	Bạc Liêu	9.234894268975705, 105.80481353712257	https://maps.app.goo.gl/GtbpWUanyoV2NRXm7	NULL	canh-dong-dien-gio.jpg	60	https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcT0jY8aOqR7IMTP49QZMWcseVXG7J0KJzbwv2nlJilSSiiyvfYJXW6iOIa6TB40J-O5l6KKunlPPKylZs7odWVtqamiK6HNIRmFXMwf3jfOKmA4oE8
34	KDL Sinh thái Hồ Nam	Resort nghỉ dưỡng xanh mát.	Khu phức hợp nghỉ dưỡng, ẩm thực và vui chơi giải trí với hồ nước rộng lớn, không gian thoáng đãng.	4.1	900	72	Nghỉ dưỡng	07:00	22:00	30000	2	Trần Quang Diệu	Phường 1	TP. Bạc Liêu	Bạc Liêu	9.303048335813953, 105.73222478608369	https://www.google.com/maps/place/Khu+Du+l%E1%BB%8Bch+Sinh+th%C3%A1i+H%E1%BB%93+Nam/@9.3027026,105.7320274,19.04z/data=!4m9!3m8!1s0x31a1090b1c2472af:0xf61eb1a11252d43d!5m2!4m1!1i2!8m2!3d9.3029832!4d105.7321312!16s%2Fg%2F11gz6vx_s?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D	2913898898	kdl-ho-nam.jpg	120	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3kUfbaG9R7qf26DMkepXaSlZy5oB3o1dsIum-FFZksGri0jGjCc_uEuelwOL4
35	Vườn chim Bạc Liêu	Khu bảo tồn thiên nhiên hoang dã.	Nơi trú ngụ của hàng ngàn cá thể chim, cò, vạc... tạo nên bức tranh thiên nhiên sống động giữa lòng thành phố.	4.2	900	75	Sinh thái	07:00	17:00	30000	NULL	Cao Văn Lầu	Phường Nhà Mát	TP. Bạc Liêu	Bạc Liêu	9.242552713296154, 105.71809086705925	https://www.google.com/maps/place/B%E1%BA%A1c+Li%C3%AAu+Bird+Sanctuary/@9.2424654,105.716704,17.76z/data=!4m6!3m5!1s0x31a10ba13fe56285:0xd06512b96b64f5e2!8m2!3d9.2424597!4d105.7178765!16s%2Fg%2F1thk672s?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D	NULL	vuon-chim-bac-lieu.jpg	90	https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcQokQ7IRanId7PGNDBc9294MQhyYd5bMgjlOKBq6-9sBd435YoF0iXyZKWjz7g5GcXJ0NgjdRhyQqwqOZRBsO4L8cMuW7PILafrYo3tgjSnLzEiZac
36	Vườn nhãn cổ Bạc Liêu	Khu vườn trăm tuổi thoáng mát.	Vườn nhãn cổ thụ với những gốc cây to lớn, sai trĩu quả, mang lại không gian thư giãn và thưởng thức đặc sản.	4.1	700	68	Sinh thái	07:00	18:00	20000	NULL	ĐT 31	Xã Hiệp Thành	TP. Bạc Liêu	Bạc Liêu	9.245508905295676, 105.77876561586422	https://www.google.com/maps/place/V%C6%B0%E1%BB%9Dn+nh%C3%A3n+c%E1%BB%95+tr%C3%AAn+tr%C4%83m+tu%E1%BB%95i/@9.2452515,105.7782737,19.29z/data=!4m6!3m5!1s0x31a10a87bf1b23b5:0x83a7ed772b772c98!8m2!3d9.2454501!4d105.7787121!16s%2Fg%2F11b7c49mc8?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D	NULL	vuon-nhan-co.jpg	60	https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcRjJrsErnhczmvKK2u0kshV2TMdx8L4_9azsqxzM4ghyG1LppmFhC0vasXSInOpCcLD_I8MvnaWzvbRYbTMjLGk4VaEA2jdK6KFQy-v9FpS4jCoVRw
37	Lăng Ông Duyên Hải	Tín ngưỡng thờ Cá Ông của ngư dân.	Nơi thờ bộ xương cá voi khổng lồ, thể hiện niềm tin và sự kính trọng của ngư dân vùng biển đối với "Nam Hải Đại Tướng Quân".	5.0	400	74	Tâm linh	07:00	17:00	0	NULL	Ấp Vĩnh Lạc	Xã Vĩnh Thịnh	H. Hòa Bình	Bạc Liêu	9.14725642644374, 105.57995225200011	https://www.google.com/maps/place/Mi%E1%BA%BFu+Th%E1%BB%9D+C%C3%A1+%C3%94ng+(L%C4%83ng+%C3%94ng+Duy%C3%AAn+H%E1%BA%A3i)/@9.1471963,105.5792845,18.58z/data=!4m10!1m2!2m1!1zTMSDbmcgw5RuZyBEdXnDqm4gSOG6o2k!3m6!1s0x31a16d007c528c9f:0xf920a9c6c0c612e!8m2!3d9.1472125!4d105.5797969!15sChdMxINuZyDDlG5nIER1ecOqbiBI4bqjaZIBBnNocmluZeABAA!16s%2Fg%2F11yb_ysp6l?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D	NULL	lang-ong-duyen-hai.jpg	30	https://hitour.vn/storage/images/upload/lang-ong-nam-hai-binh-hung-1-750x460-type-manager-upload.webp
