name	priveVnd	summary	description	openTime	closeTime	phone	rating	reviewCount	populartity	imageName	tags	houseNumber	street	ward	district	city	lat, long	url
Nhà thờ Lớn Hà Nội	0	Công trình Kiến trúc	Nhà thờ chính tòa của Tổng giáo phận Hà Nội, có kiến trúc Gothic Trung cổ tuyệt đẹp, được xây dựng từ năm 1886.	08:00 & 14:00	11:00 & 17:00	None	4.6	6373	98	nha_tho_lon_ha_noi.png	Tâm linh, Kiến trúc	1	P. Nhà Thờ	Hàng Trống	Hoàn Kiếm	Hà Nội	21.0287659431892,105.8488606	St. Joseph Cathedral
Bảo tàng Phụ nữ Việt Nam	0	Văn hóa	Nơi trưng bày các hiện vật, tài liệu về lịch sử và vai trò của người phụ nữ Việt Nam qua các thời kỳ, từ các cuộc chiến tranh cho đến cuộc sống thường ngày.	08:00	17:00	02439365973	4.4	6017	77	bao_tang_phu_nu_viet_nam.png	Văn hóa, Lịch sử	36	P. Lý Thường Kiệt	Trần Hưng Đạo	Hoàn Kiếm	Hà Nội	21.0235937223974,105.851650459514	Vietnamese Women's Museum
Chùa Trấn Quốc	0	Di tích Lịch sử	Ngôi chùa cổ nhất ở Hà Nội, nằm trên một hòn đảo nhỏ phía Đông Hồ Tây, là trung tâm Phật giáo nổi tiếng và là nơi ngắm hoàng hôn lý tưởng.	07:30 & 13:30	11:00 & 17:00	None	4.4	46051	75	chua_tran_quoc.png	Tâm linh, Kiến trúc		Thanh Niên	Yên Phụ	Tây Hồ	Hà Nội	21.047988635156,105.836892595833	Tran Quoc Pagoda
Phố Tạ Hiện	30.000 – 150.000	Văn hóa ẩm thực	Được mệnh danh là "Phố Bia" hay "Phố Tây". Nổi tiếng với không khí sôi động về đêm, các quán bia hơi và ẩm thực đường phố, thu hút du khách trong và ngoài nước.	24/24	24/24	None	4.6	582	93	pho_ta_hien.png	Giải trí, Văn hóa		Phố cổ Hà Nội	Hoàn Kiếm	Hoàn Kiếm	Hà Nội	21.0351957579915,105.852174273009	P. Tạ Hiện
Chợ đêm đồng xuân	100.000 VND	Văn hóa	Khu chợ đêm lớn và sầm uất nhất ở khu vực phố cổ Hà Nội. Chợ là nơi buôn bán đa dạng các mặt hàng, là một trải nghiệm văn hóa mua sắm và ẩm thực đặc trưng.	Sôi nổi vào ban đêm	Sôi nổi vào ban đêm	0975744688	4.1	600	89	cho_dem_dong_xuan.png	Giải trí, Mua sắm		Ng. Đồng Xuân	Đồng Xuân	Hoàn Kiếm	Hà Nội	21.038146898272,105.849081128357	Chợ đêm Đồng Xuân - ngành hàng ẩm thực
Chợ Hoa Đêm Quảng Bá	100.000 VND	Văn hoá	Chợ đầu mối hoa lớn nhất và nổi tiếng nhất miền Bắc, hoạt động từ đêm khuya đến rạng sáng. Chợ là nơi mua bán các loại hoa tươi đa dạng, thể hiện nét văn hóa lãng mạn của người Hà Nội.	21:00	07:00	None	3.8	21	89	cho_hoa_dem_quang_ba.png	Văn hóa, Mua sắm	236	Âu Cơ	phường Tây Hồ	TP. Hà Nội	Hà Nội	21.066676440268,105.82789884491	Chợ Hoa Quảng An - Âu Cơ
Đền Quán Thánh	10.000 VNĐ	Di tích lịch sử	Ngôi đền cổ kính nằm bên Hồ Tây, thờ thần Huyền Thiên Trấn Vũ. Nổi tiếng với pho tượng đồng đen Huyền Thiên Trấn Vũ nặng gần 4 tấn, cao gần 4m, được đúc từ thế kỷ 17.	08:00	17:00		4.5	4777	75	Den_Quan_Thanh.png	Tâm linh, Lịch sử	190	Quán Thánh	Quán Thánh	Ba Đình	Hà Nội	21.0462217348423,105.835945386569	Quan Thanh Temple
Phủ Chủ tịch	40.000 VNĐ	Di tích lịch sử	Nơi sống và làm việc của Chủ tịch Hồ Chí Minh trong khuôn viên Lăng.	7:30	16:00	02438455128	4.6	932	96	Phu_Chu_Tich.png	Lịch sử, Kiến trúc	2	Hùng Vương	Ngọc Hà	Ba Đình	Hà Nội	21.041547227553,105.833876186569	Presidential Palace
Di tích Cửa Bắc	30.000 VNĐ	Di tích lịch sử	Di tích cổng thành duy nhất còn lại của thành cổ Hà Nội, thờ Nguyễn Tri Phương.	8:00	17:00		4.5	1,322	96	Cua_Bac.png	Lịch sử, Kiến trúc	56	Phan Đình Phùng	Quán Thánh	Ba Đình	Hà Nội	21.0439504338744,105.841257625922	Di tích Cửa Bắc-Hà Nội
Nhà sàn Bác Hồ	40.000 VNĐ	Di tích lịch sử	(Vé chung Phủ CT) Nơi Bác ở và làm việc lâu nhất (1958-1969).	7:30	16:00		4.8	1559	90	Nha_San_Bac_Ho.png	Lịch sử, Thiên nhiên	1	Hoàng Hoa Thám	Ngọc Hà	Ba Đình	Hà Nội	21.0410421085521,105.831883041048	Ho Chi Minh’s Stilt House
Đền Bạch Mã	0	Đền	Trấn Đông Thăng Long, thờ thần Long Đỗ, kiến trúc gỗ đặc sắc.	8:00	17:00		4.6	1213	79	Den_Bach_Ma.png	Tâm linh, Lịch sử	76	Hàng Buồm	Hàng Buồm	Hoàn Kiếm	Hà Nội	21.0381858993303,105.851780877612	Bach Ma Temple
Đền Ngọc Sơn	30.000 VNĐ	Đền	Di tích quốc gia đặc biệt trên đảo Ngọc, cầu Thê Húc dẫn vào.	8:00	18:00		4.5	12194	88	Den_Ngoc_Son.png	Tâm linh, Lịch sử		Đinh Tiên Hoàng	Hàng Trống	Hoàn Kiếm	Hà Nội	21.0347766691244,105.851776118288	Ngoc Son Temple
Đền thờ Vua Lê Thái Tổ	0	Đền	Tượng đài vua Lê trả gươm báu, nằm trong cụm di tích Hồ Gươm.	7:00	18:00		4.6	258	79	Den_Vua_Le.png	Tâm linh, Lịch sử	16	Lê Thái Tổ	Hàng Trống	Hoàn Kiếm	Hà Nội	21.0320528646263,105.850746150006	King Le Thai To's Temple
Đền Bà Kiệu	0	Đền	Đền thờ Mẫu Liễu Hạnh, nằm đối diện đền Ngọc Sơn qua đường.	8:00	17:00		4.5	189	50	Den_Ba_Kieu.png	Tâm linh, Văn hóa	59	Đinh Tiên Hoàng	Lý Thái Tổ	Hoàn Kiếm	Hà Nội	21.0341899542512,105.85326131145	Đền Bà Kiệu
Chùa Quán Sứ	0	Chùa	Trụ sở Giáo hội Phật giáo VN, nơi thường xuyên tổ chức lễ lớn.	6:00	19:00	02439422427	4.7	3184	30	Chua_Quan_Su.png	Tâm linh, Văn hóa	73	Quán Sứ	Trần Hưng Đạo	Hoàn Kiếm	Hà Nội	21.0271399772235,105.845536549109	Chùa Quán Sứ
Làng cổ Đường Lâm	20.000 VNĐ	Di tích lịch sử	Làng cổ đá ong, quê hương hai vua, giữ nét quê Bắc Bộ xưa.	8:00	17:00		4.4	1708	82	Lang_Co_Duong_Lam.png	Văn hóa, Lịch sử		Đường Lâm	Đường Lâm	Sơn Tây	Hà Nội	21.1604869246711,105.470752858981	Duong Lam Ancient Village
Khu Khảo Cổ Hoàng Thành	30.000 VNĐ	Di tích lịch sử	Khu khảo cổ 18 Hoàng Diệu, trưng bày hiện vật nghìn năm Thăng Long.	8:00	17:00	02437345427	4.6	153	82	Khu_Khao_Co.png	Lịch sử, Văn hóa	19C	Hoàng Diệu	Điện Biên	Ba Đình	Hà Nội	21.0397478639308,105.839204172835	Khu Khảo Cổ Hoàng Thành Thăng Long
Điện Kính Thiên	30.000 VNĐ	Di tích lịch sử	Nền điện trung tâm Hoàng Thành, nơi vua ngự thiết triều xưa.	8:00	17:00		4.7	360	74	Dien_Kinh_Thien.png	Lịch sử, Kiến trúc	9	Hoàng Diệu	Điện Biên	Ba Đình	Hà Nội	21.0397478639308,105.840405802532	Kinh Thien Palace
Nhà Cổ Hà Nội (87 Mã Mây)	10.000 VNĐ	Di tích lịch sử	Ngôi nhà di sản bảo tồn nguyên vẹn kiến trúc nhà ống thế kỷ 19.	8:00	17:30	02438282828	4.3	72	94	Nha_Co_87MaMay.png	Văn hóa, Kiến trúc	87	Mã Mây	Hàng Buồm	Hoàn Kiếm	Hà Nội	21.0363832692912,105.854310374746	Heritage House
Thánh đường Al-Noor	0	Di tích lịch sử	Thánh đường Hồi giáo duy nhất ở Hà Nội, kiến trúc Ả Rập.	8:00	20:00		4.4	1567	84	Al_Noor_Mosque.png	Tâm linh, Văn hóa	12	Hàng Lược	Hàng Mã	Hoàn Kiếm	Hà Nội	21.0428064021512,105.848708174746	Masjid Al Noor Hanoi
Nhà Lưu niệm HCM	0	Di tích lịch sử	Nơi Bác viết Lời kêu gọi Toàn quốc kháng chiến (1946).	8:00	17:00		4.6	12	88	Nha_Luu_Niem.png	Lịch sử, Văn hóa		Làng lụa Vạn Phúc	Vạn Phúc	Hà Đông	Hà Nội	21.0367181573928,105.850081465829	Nhà Lưu Niệm Bác Hồ
Chùa Láng	0	Chùa	"Đệ nhất tùng lâm", chùa rộng và đẹp thờ Thiền sư Từ Đạo Hạnh.	7:00	18:00		4.6	3053	75	Chua_Lang.png	Tâm linh, Lịch sử	116	Chùa Láng	Láng Thượng	Đống Đa	Hà Nội	21.0286048954751,105.803741602532	Lang Pagoda
Phủ Tây Hồ	0	Đền	Di tích thờ Mẫu Liễu Hạnh trên bán đảo Hồ Tây, rất đông khách cầu tài.	5:00	19:00		4.6	4727	69	Phu_Tay_Ho.png	Tâm linh, Văn hóa	52	Đặng Thai Mai	Quảng An	Tây Hồ	Hà Nội	21.0576468783865,105.82087505102	Phủ Tây Hồ
Ô Quan Chưởng	0	Di tích lịch sử	Cửa ô cổ kính, biểu tượng lịch sử của khu phố cổ.	24/24	24/24		4.5	2811	94	O_Quan_Chuong.png	Lịch sử, Kiến trúc		Hàng Chiếu - Đào Duy Từ	Đồng Xuân	Hoàn Kiếm	Hà Nội	21.04059596566,105.852716318376	Ô Quan Chưởng
Đình Kim Ngân	0	Di tích lịch sử	Đình thờ tổ nghề kim hoàn, nơi giao lưu văn hóa phố cổ.	8:00	17:00		4.4	110	74	Dinh_Kim_Ngan.png	Văn hóa, Tâm linh	42	Hàng Bạc	Hàng Bạc	Hoàn Kiếm	Hà Nội	21.0369270997978,105.852607372835	Đình Kim Ngân
Chùa Vạn Niên	0	Chùa	Chùa nghìn năm tuổi ven Hồ Tây, kiến trúc gỗ toàn bộ độc đáo.	8:00	18:00		4.7	1954	74	Chua_Van_Nien.png	Tâm linh, Kiến trúc	364	Lạc Long Quân	Xuân La	Tây Hồ	Hà Nội	21.0693652423324,105.81321293223	Van Nien pagoda
Chùa Diên Hựu	0	Chùa	(Chùa Một Cột) Di tích kiến trúc độc đáo hình đài sen giữa hồ.	7:00	18:00		4.6	9845	82	Chua_Mot_Cot.png	Tâm linh, Lịch sử		Chùa Một Cột	Đội Cấn	Ba Đình	Hà Nội	21.0381258680826,105.83278233016	One Pillar Pagoda
Nhà Thờ Hàm Long	0	Di tích lịch sử	Nhà thờ Công giáo lớn, nổi tiếng với hai mặt tiền đường phố.	8:00	17:00	02438254269	4.5	1525	60	Nha_Tho_Ham_Long.png	Tâm linh, Kiến trúc	21	Hàm Long	Phan Chu Trinh	Hoàn Kiếm	Hà Nội	21.0261074406385,105.855279782136	St Anthony Ham Long Church
Chùa Lý Triều Quốc Sư	0	Chùa	Chùa thờ thiền sư Nguyễn Minh Không, ngay cạnh Nhà thờ Lớn.	8:00	17:00		4.5	235	73	Chua_Ly_Trieu.png	Tâm linh, Lịch sử	50	Lý Quốc Sư	Hàng Trống	Hoàn Kiếm	Hà Nội	21.0342068377727,105.847220331817	Ly Trieu Quoc Su Pagoda
Chùa Hòe Nhai	0	Chùa	Chùa Hồng Phúc Tự, có tượng Phật ngồi trên lưng vua.	8:00	18:00		4.6	504	70	Chua_Hoe_Nhai.png	Tâm linh, Lịch sử	19	Hàng Than	Nguyễn Trung Trực	Ba Đình	Hà Nội	21.0457278756182,105.847670744715	Hồng Phúc Tự - Hòe Nhai Pagoda
Đền Hai Bà Trưng	0	Đền	Đền Đồng Nhân, di tích quốc gia đặc biệt thờ hai nữ anh hùng.	8:00	17:00		4.6	155	88	Den_Hai_Ba_Trung.png	Tâm linh, Lịch sử	12	Hương Viên	Đồng Nhân	Hai Bà Trưng	Hà Nội	21.0152847610286,105.855910491212	Đền Hai Bà Trưng
Cổng làng Văn La	0	Di tích lịch sử	Kiến trúc cổng làng truyền thống được bảo tồn giữa đô thị hóa.	24/24	24/24		4.3	115	90	Cong_Lang_Van_La.png	Kiến trúc, Văn hóa		Văn La	Phú La	Hà Đông	Hà Nội	20.9686529596408,105.761668709046	Van La Village Gate
Nhà Cổ Hà Nội (Khác)	10.000 VNĐ	Di tích lịch sử	(Trùng lặp mục 87 Mã Mây) Đại diện cho các nhà cổ khác.	8:00	17:30		4.3	72	78	Nha_Co_Ha_Noi_2.png	Văn hóa, Kiến trúc	87	Mã Mây	Hàng Buồm	Hoàn Kiếm	Hà Nội	21.0426380264881,105.852329751562	Heritage House
Nhà Đại tướng Võ Nguyên Giáp	0	Di tích lịch sử	Biệt thự Pháp cổ, nơi Đại tướng sống (chỉ viếng ngoài hoặc dịp lễ).				4.8	41	65	Nha_Dai_Tuong.png	Lịch sử, Văn hóa	30	Hoàng Diệu	Điện Biên	Ba Đình	Hà Nội	21.0394337145393,105.842716713982	Nhà Đại tướng Võ Nguyên Giáp
Đền Mẫu Cửu Ninh Sở	0	Đền	Đền thờ Mẫu Cửu Trùng Thiên với kiến trúc chạm khắc gỗ tinh xảo.	7:00	18:00		4.7	40	91	Den_Mau_Cuu.png	Tâm linh, Văn hóa		Ninh Sở	Ninh Sở	Thường Tín	Hà Nội	20.9002295842858,105.88469573559	Đền Mẫu Cửu Ninh Sở
Di chỉ Vườn Chuối	0	Di tích lịch sử	Gò đất khảo cổ quan trọng, dấu vết người Việt cổ cư trú.				4	12	93	Di_Chi_Vuon_Chuoi.png	Lịch sử		Lai Xá	Kim Chung	Hoài Đức	Hà Nội	21.0666357902445,105.70925298943	Di chỉ khảo cổ học Vườn Chuối
Đình làng Huỳnh Cung	0	Di tích lịch sử	Đình thờ tướng Phạm Tu, kiến trúc cổ kính.	8:00	17:00		4.5	25	75	Dinh_Huynh_Cung.png	Tâm linh, Văn hóa		Huỳnh Cung	Tam Hiệp	Thanh Trì	Hà Nội	20.9617227773357,105.827512218093	Đình làng Huỳnh Cung
Đình - Chùa Hạ Trại	0	Chùa	Quần thể tâm linh làng Hạ Trại (Đình thờ thần, Chùa thờ Phật).	8:00	17:00		4.4	18	70	Dinh_Chua_Ha_Trai.png	Tâm linh, Lịch sử		Hạ Trại	Ninh Sở	Thường Tín	Hà Nội	21.0236978756007,105.901044255672	Đình - Chùa Hạ Trại
Ngôi Nhà Di Sản	10.000 VNĐ	Di tích lịch sử	Tên gọi khác của Nhà cổ 87 Mã Mây (Di sản cấp Quốc gia).	8:00	17:30		4.4	72	79	Ngoi_Nha_Di_San.png	Văn hóa, Kiến trúc	87	Mã Mây	Hàng Buồm	Hoàn Kiếm	Hà Nội	21.0505036037844,105.854858631787	Heritage House
Quan Su House (Đỗ Family)	50.000 VNĐ	Di tích lịch sử	Bảo tàng tư nhân Đỗ Family, không gian nghệ thuật và cổ vật.	9:00	17:00		4.6	44	74	Do_Family_Museum.png	Kiến trúc, Lịch sử	28	Quán Sứ	Hàng Bông	Hoàn Kiếm	Hà Nội	21.0296682999797,105.84561826981	Quan Su House - Đỗ Family Museum
Đèo Ô Quy Hồ	0	Danh lam thắng cảnh	Một trong tứ đại đỉnh đèo, điểm săn mây và ngắm hoàng hôn hùng vĩ.				4.7	713	85	deo_o_quy_ho.png				Sơn Bình	Tam Đường	Lai Châu	22.3638674948315,103.765547270884	Đèo Ô Quy Hồ
Khu Du Lịch Cầu Kính Rồng Mây	500.000 VNĐ	Khu du lịch	Khu du lịch mạo hiểm với cầu kính vươn ra vách núi và thang máy ngoài trời (Giá vé trọn gói).	7:00	18:00	0386679610	4.4	3188	75	cau_kinh_rong_may.png			QL4D	Sơn Bình	Tam Đường	Lai Châu	22.3726108497088,103.757992862033	Khu Du Lịch Cầu Kính Rồng Mây
Động PuSamCap	50.000 VNĐ	Hang động	Quần thể hang động đá vôi đẹp nhất Lai Châu, được ví như "Tây Bắc đệ nhất động".	24/24	24/24	02136252345	4.3	272	65	dong_pusamcap.png			Bế Văn Đàn	Nậm Loỏng	TP Lai Châu	Lai Châu	22.3859658038523,103.410923469439	Động PuSamCap
Đồi chè Tân Uyên	0	Danh lam thắng cảnh	Đồi chè xanh ngát trải dài, là điểm check-in nổi tiếng của huyện Tân Uyên.				4.6	48	72	doi_che_tan_uyen.png				Tân Uyên	Tân Uyên	Lai Châu	22.2088799571927,103.74004847129	Đồi chè Tân Uyên
Thác Tác Tình	20.000 VNĐ	Danh lam thắng cảnh	Thác nước hoang sơ gắn liền với truyền thuyết tình yêu của người Dao.	24/24	24/24	0329005222	4.6	402	78	thac_tac_tinh.png				Tam Đường	Tam Đường	Lai Châu	22.3475016072759,103.614001531346	Thác Tác Tình
Bản Sì Thâu Chải	30.000 VNĐ	Văn hóa/Cộng đồng	Bản người Dao đầu bằng trên núi cao, điểm săn mây và dù lượn lý tưởng.			0964496401	4.5	334	70	ban_si_thau_chai.png				Hồ Thầu	Tam Đường	Lai Châu	22.3615917917217,103.602998342454	Bản Sì Thâu Chải
Guồng Nước Nà Khương	20.000 VNĐ	Danh lam thắng cảnh	Hệ thống cọn nước (guồng nước) khổng lồ bên dòng suối Nậm Mu thơ mộng.				4.3	104	60	guong_nuoc_na_khuong.png				Bản Bo	Tam Đường	Lai Châu	22.2390956343689,103.678950827111	Cọn nước Nà Khương
Cánh Đồng Mường Than	0	Danh lam thắng cảnh	Cánh đồng lúa lớn thứ ba Tây Bắc, đẹp nhất vào mùa lúa chín tháng 9.				4.7	34	75	canh_dong_muong_than.png				Mường Than	Than Uyên	Lai Châu	21.9886500970952,103.918389544306	Cánh Đồng Mường Than
Khu nghỉ dưỡng suối nước nóng Phong Thổ LC	50.000 VNĐ	Khu du lịch sinh thái	Khu tắm khoáng nóng có dịch vụ ngâm tắm, ăn uống (Giá vé tắm khoáng).	6:00	23:00	0914861305	4.0	65	40	suoi_nuoc_nong_phong_tho.png				Phong Thổ	Phong Thổ	Lai Châu	22.5235174485635,103.326009654095	Suối khoáng nóng Vàng Pó
Phu Ta Leng	0	Du lịch mạo hiểm	Đỉnh núi cao thứ 3 Việt Nam, nổi tiếng với rừng đỗ quyên cổ thụ.				4.9	27	82	phu_ta_leng.png					Tam Đường	Lai Châu	22.4338287452354,103.568662263478	Đỉnh Pu Ta Leng
Đỉnh Phan Xi Păng	800.000 VNĐ	Danh lam thắng cảnh	Nóc nhà Đông Dương, điểm đến mơ ước với hệ thống cáp treo hiện đại và quần thể tâm linh (Giá vé cáp treo).				4.7	522	84	dinh_phan_xi_pang.png				San Sả Hồ	Sa Pa	Lào Cai	22.3052693185644,103.781740038176	Fanxipan Mountain
Khu Du Lịch Cát Cát - Sapa	150.000 VNĐ	Văn hóa/Cộng đồng	Bản làng cổ đẹp nhất Tây Bắc của người H'Mông với suối, thác và những nếp nhà gỗ truyền thống.	6:00	18:00	0943602200	4.1	9215	68	kdl_cat_cat.png				Cát Cát	Sa Pa	Lào Cai	22.3312232842045,103.834611465752	Cat Cat Tourism Village
Nhà Thờ Đá Sapa	0	Di tích lịch sử	Biểu tượng của thành phố sương mù, kiến trúc Gothic Pháp cổ toàn vẹn nhất còn sót lại.	6:00	21:00		4.4	8120	80	nha_tho_da_sapa.png				Hàm Rồng	Sa Pa	Lào Cai	22.3353265740721,103.842692329503	Sa Pa Stone Church
Thung lũng Mường Hoa	150.000 VNĐ	Danh lam thắng cảnh	Thiên đường ruộng bậc thang và bãi đá cổ (Giá vé tàu hỏa leo núi Mường Hoa).				4.6	614	80	thung_lung_muong_hoa.png				Lao Chải	Sa Pa	Lào Cai	22.314312030337,103.877728622905	Mường Hoa Valley
Chợ Văn Hóa Bắc Hà	0	Văn hóa/Chợ phiên	Phiên chợ lớn nhất vùng cao biên giới, nơi hội tụ màu sắc văn hóa của các dân tộc thiểu số (Họp Chủ nhật).	7:30	21:00		4.3	2098	70	cho_van_hoa_bac_ha.png				Bắc Hà	Bắc Hà	Lào Cai	22.5350583542951,104.293464040622	Bắc Hà Market
Dinh thự Hoàng A Tưởng	20.000 VNĐ	Di tích lịch sử	Dinh thự "Vua Mèo" bề thế giữa cao nguyên trắng, kiến trúc kết hợp Á - Âu độc đáo.	8:00	17:00	02143780662	4.1	2215	62	dinh_thu_hoang_a_tuong.png		257	Ngọc Uyển	Bắc Hà	Bắc Hà	Lào Cai	22.5412544379755,104.296144181097	Hoang A Tuong Palace
Choản Thèn	0	Danh lam thắng cảnh	Công viên Y Tý với những ngôi nhà trình tường hình nấm độc đáo của người Hà Nhì, điểm săn mây lý tưởng.	24/24	24/24		4.5	361	70	choan_then_y_ty.png				Y Tý	Bát Xát	Lào Cai	22.6642439069752,103.603021198813	Choản Thèn Look out
Đền Hoàng Bẩy - Đền Bảo Hà	0	Văn hóa/Tâm linh	Đền thờ thần vệ quốc Hoàng Bảy, điểm du lịch tâm linh nổi tiếng linh thiêng bên bờ sông Hồng.			0369911970	4.7	1727	90	den_hoang_bay.png				Bảo Hà	Bảo Yên	Lào Cai	22.1709202268869,104.352783846701	Hoang Bay Temple
Bản Tả Phìn - SaPa	40.000 VNĐ	Văn hóa/Cộng đồng	Nơi sinh sống của người Dao Đỏ, nổi tiếng với dịch vụ tắm lá thuốc và tu viện cổ.	24/24	24/24		4.3	87	60	ban_ta_phin.png				Tả Phìn	Sa Pa	Lào Cai	22.3992058292103,103.841119703854	Bản Tả Phìn - SaPa
Cửa khẩu Quốc tế Lào Cai	0	Địa điểm check-in	Cửa ngõ giao thương quan trọng, điểm check-in cột mốc biên giới và đền Mẫu.	7:00	17:00	02143832680	4.3	570	66	cua_khau_lao_cai.png		1	Nguyễn Huệ		Lào Cai	Lào Cai	22.5072431133781,103.968293887983	Lao Cai International Border Gate Administration Center
Đồi A1	20.000 VNĐ	Di tích lịch sử	Cứ điểm quan trọng bậc nhất của thực dân Pháp ở Điện Biên Phủ.	7:00	17:30		4.5	2700	78	doi_a1.png			Hoàng Văn Thái	Mường Thanh	TP Điện Biên Phủ	Điện Biên	21.3831217157809,103.017882212305	A1 Hill
Hầm chỉ huy Tập đoàn cứ điểm Điện Biên Phủ	20.000 VNĐ	Di tích lịch sử	Hầm Đờ Cát, nơi tướng De Castries bị quân đội Việt Nam bắt sống.	8:00	17:30		4.3	2408	68	ham_do_cat.png			Nguyễn Hữu Thọ	Thanh Trường	TP Điện Biên Phủ	Điện Biên	21.3850021410286,103.011316794588	French Commander Bunker of Dien Bien Phu
